id,filename,predicted_en,confidence_en,actual_sentiment,category,predicted_jp,confidence_jp
jp_055,IMG_0064.jpeg,neutral,0.29347917437553406,funny,gaming_crossover,面白いミーム,0.2725348174571991
jp_056,IMG_0063.jpeg,funny,0.3257017135620117,funny,gaming_fgo,面白いミーム,0.29815617203712463
jp_057,IMG_0062.jpeg,funny,0.45724257826805115,sarcastic,social_commentary,中立的なミーム,0.2441728711128235
jp_058,IMG_0061.jpeg,neutral,0.38564765453338623,funny,gaming_onepiece,面白いミーム,0.4438905119895935
jp_059,IMG_0060.jpeg,funny,0.29335978627204895,neutral,sports_mma,中立的なミーム,0.2955153286457062
jp_060,IMG_0059.jpeg,funny,0.33920833468437195,wholesome,vtuber_template,面白いミーム,0.32765331864356995
jp_061,IMG_0058.jpeg,funny,0.4770069122314453,sarcastic,tech_humor,ほのぼのミーム,0.48380395770072937
jp_062,IMG_0057.jpeg,wholesome,0.29494941234588623,funny,gaming_touhou,面白いミーム,0.34480544924736023
jp_063,IMG_0056.jpeg,funny,0.22902902960777283,offensive,fetish_content,面白いミーム,0.31998470425605774
jp_064,IMG_0055.jpeg,funny,0.3294610381126404,political,political_satire,面白いミーム,0.39151835441589355
jp_065,IMG_0054.jpeg,funny,0.4631839692592621,funny,tokusatsu,面白いミーム,0.3061470091342926
jp_066,IMG_0053.jpeg,political,0.3667679727077484,sarcastic,gaming_puzzle,面白いミーム,0.3453258275985718
jp_067,IMG_0052.jpeg,funny,0.438262403011322,funny,photoshop,中立的なミーム,0.31450173258781433
jp_068,IMG_0051.jpeg,political,0.7975133061408997,sarcastic,politics,中立的なミーム,0.3534950315952301
jp_069,IMG_0050.jpeg,wholesome,0.3242516815662384,sarcastic,anime_parody,中立的なミーム,0.2670499384403229
jp_070,IMG_0049.jpeg,sarcastic,0.34375935792922974,funny,wordplay,中立的なミーム,0.2683630585670471
jp_071,IMG_0048.jpeg,neutral,0.36211636662483215,funny,gaming_crossover,面白いミーム,0.34011927247047424
jp_072,IMG_0047.jpeg,funny,0.4950349032878876,funny,tech_humor,政治的なミーム,0.21990057826042175
jp_073,IMG_0046.jpeg,political,0.5271415710449219,sarcastic,politics,政治的なミーム,0.3133716881275177
jp_074,IMG_0045.jpeg,funny,0.37894099950790405,funny,cosplay,中立的なミーム,0.277601957321167
jp_075,IMG_0044.jpeg,funny,0.36008796095848083,funny,photoshop,皮肉なミーム,0.4117799401283264
jp_076,IMG_0043.jpeg,wholesome,0.3451002836227417,funny,ai_art,ほのぼのミーム,0.2911214232444763
jp_077,IMG_0042.jpeg,funny,0.35369157791137695,funny,gaming_monsterhunter,面白いミーム,0.27788349986076355
jp_078,IMG_0041.jpeg,political,0.2678930163383484,funny,ai_art,面白いミーム,0.3804270625114441
jp_079,IMG_0040.jpeg,funny,0.28642895817756653,funny,ai_art,面白いミーム,0.23927052319049835
jp_080,IMG_0039.jpeg,sarcastic,0.36008432507514954,funny,gaming_pikmin,面白いミーム,0.30163708329200745
jp_081,IMG_0038.jpeg,funny,0.43105873465538025,funny,real_life,面白いミーム,0.32582777738571167
jp_082,IMG_0037.jpeg,funny,0.3206701874732971,funny,gaming_clan,面白いミーム,0.3147287666797638
jp_083,IMG_0036.jpeg,wholesome,0.39462992548942566,funny,wordplay,ほのぼのミーム,0.4550464153289795
jp_084,IMG_0035.jpeg,funny,0.3752596080303192,funny,comparison,面白いミーム,0.26389840245246887
jp_085,IMG_0034.jpeg,wholesome,0.28217124938964844,funny,anime_captain_tsubasa,中立的なミーム,0.27288058400154114
jp_086,IMG_0033.jpeg,wholesome,0.6282671689987183,sarcastic,ai_art,面白いミーム,0.28897738456726074
