id,predicted,confidence,text
en_0095,a sarcastic meme,0.35102182626724243,when you see the gas bill
en_0096,a political meme,0.3806605339050293,cheers to all the people who can change their mind
en_0097,a funny meme,0.33387282490730286,broken chair
en_0098,a funny meme,0.31503331661224365,stop being a bitch
en_0099,a sarcastic meme,0.40640413761138916,honestly how often do you masturbate?
en_0100,a wholesome meme,0.586982250213623,spending quality time with dad
en_0101,a wholesome meme,0.3052699565887451,when you consume too much trans fat
en_0102,an offensive meme,0.25464528799057007,when i was a boy we didn't have things like adhd. 
en_0103,a funny meme,0.2603675127029419,y'all kids claims to be victims of slavery when we
en_0104,a political meme,0.3196326792240143,jews are the problem. not just zionists or israeli
en_0105,a sarcastic meme,0.39165154099464417,him: the dishwasher is acting weird her: what's it
en_0106,a sarcastic meme,0.31445473432540894,be happy you dont have neanderthal dna
en_0107,an offensive meme,0.3405226469039917,"black people black people ""why would white america"
en_0108,a sarcastic meme,0.2732279896736145,white people walked on all fours before black peop
en_0109,a sarcastic meme,0.32779601216316223,when you turn on the light and realize you have be
en_0110,a neutral meme,0.31304118037223816,its national hebrew day go pick up a hot girl
en_0111,an offensive meme,0.28661778569221497,mohammad is fucked by blink hacker group! oink oin
en_0112,a sarcastic meme,0.34935876727104187,i woke up like this
en_0113,a sarcastic meme,0.5022031664848328,i am still so confused about the strategies in thi
en_0114,a funny meme,0.34398773312568665,"""at first, i didn t want to wear a hijab."" ""but my"
en_0115,a political meme,0.38141608238220215,i stand with hitler these was this time at auschwi
en_0116,an offensive meme,0.25933876633644104,"if you hold a black baby to your ear, you can hear"
en_0117,an offensive meme,0.2372022122144699,meanwhile at the isis strip club
en_0118,a funny meme,0.2722223699092865,just ordered the new anne frank puzzle
en_0119,a wholesome meme,0.43062329292297363,what's the difference between a walrus and a lesbi
en_0120,a wholesome meme,0.29549717903137207,i'm not transphobic i just think trans people shou
en_0121,a funny meme,0.2790059447288513,hitler getting his tan on
en_0122,a political meme,0.8153830170631409,i'm uncertain where i stand on abortion i like the
en_0123,a sarcastic meme,0.4783422648906708,when you're facetimeing and accidently fall down t
en_0124,a sarcastic meme,0.2419089525938034,when your wife and girlfriend dont get along
en_0125,a funny meme,0.3741370737552643,i like your cologne what is that? tricare? deers
en_0126,a political meme,0.3922533392906189,literally nobody: white people sitting at the bar:
en_0127,a political meme,0.4625176191329956,"bitch, say something else"
en_0128,a sarcastic meme,0.2437131404876709,this is racist but this is not?????
en_0129,a funny meme,0.24459469318389893,"your tits... in my hands, put them you will"
en_0130,an offensive meme,0.30348992347717285,there must be some way this victimizes me
en_0131,a wholesome meme,0.24878820776939392,when your eating out your grandma and you taste ho
en_0132,a political meme,0.8956196308135986,damn girl that's a policy i could get behind
en_0133,a sarcastic meme,0.46543368697166443,this guy grabs your girl's ass in the bar what do 
en_0134,a sarcastic meme,0.5404646992683411,it's important to listen to your elders please don
en_0135,a sarcastic meme,0.4018460214138031,when you have to make your own pool
en_0136,a sarcastic meme,0.3029848337173462,that look when you wanna cut a bitch but you remem
en_0137,a funny meme,0.23448877036571503,"if you believe that, i've got a virgin goat to sel"
en_0138,a political meme,0.40245795249938965,immigration invasion learn the difference
en_0139,a sarcastic meme,0.2814421057701111,want one as a slave when you watch how slow they w
en_0140,a sarcastic meme,0.3268250524997711,when you finally buy a dishwasher this works a lot
en_0141,an offensive meme,0.3012443780899048,we build our houses with stone
en_0142,a political meme,0.32983678579330444,whats the difference between santa and the jews sa
en_0143,a funny meme,0.33740440011024475,how to remember kid in hot car keep 2nd road beer 
en_0144,a wholesome meme,0.6499043107032776,you are so cute
en_0145,a sarcastic meme,0.2761603593826294,it's ma'am!! yooouu lookah like a man
en_0146,an offensive meme,0.4069390892982483,bigbird singing to child on seasame street
en_0147,a funny meme,0.29796433448791504,best part about a hooker dying on you? the 2nd hou
en_0148,a political meme,0.8750479817390442,the enemy within ilhan omar linda sarsour rashida 
en_0149,a political meme,0.3177919387817383,white people already paid reparations
en_0150,a political meme,0.5681828260421753,making america white again
en_0151,a sarcastic meme,0.3718756437301636,"scared you today, didn't i?"
en_0152,a neutral meme,0.21309544146060944,subway is similar to prostitution you pay someone 
en_0153,a sarcastic meme,0.28324374556541443,my friends coming to see me after a crazy friday n
en_0154,a political meme,0.806929886341095,trump supporters be like mexicans stole my teeth
en_0155,a political meme,0.4831765592098236,i heard we can get free steroids in australia plea
en_0156,an offensive meme,0.38267675042152405,go be gay somewhere else
en_0157,a wholesome meme,0.282439649105072,celebreated 4/20 on january 5th because i know how
en_0158,a sarcastic meme,0.5563631057739258,when the employee asks what bra size you wear
en_0159,an offensive meme,0.4967271089553833,god: *creates jews* god: *creates jesus* jews: *ki
en_0160,a sarcastic meme,0.23694324493408203,gays aids it really be like that
en_0161,a wholesome meme,0.2921915054321289,congratulations it's non binary
en_0162,an offensive meme,0.3130703866481781,islam is the religion of peace! if you don't agree
en_0163,a funny meme,0.4230622947216034,send me sexy pic
en_0164,a political meme,0.8159684538841248,when you're a convicted rapist but reruns of your 
en_0165,a political meme,0.5286285281181335,when they don't get the memo that they lost the wa
en_0166,a funny meme,0.40937715768814087,the look you give when the bubbles in the pool are
en_0167,a sarcastic meme,0.29858219623565674,racing for pink slips in africa
en_0168,a funny meme,0.2814048230648041,we kill you on 9/11 and you elect 3 of us to congr
en_0169,a sarcastic meme,0.48364874720573425,if he's marrying me then why's he fucking my mom
en_0170,a sarcastic meme,0.2536798119544983,when you bout to nut in your cousin and you hear t
en_0171,a sarcastic meme,0.41774433851242065,9 months before i was born i went to a party with 
en_0172,a sarcastic meme,0.2583974301815033,go be gay somewhere else
en_0173,a funny meme,0.40487584471702576,just got a bootleg copy of muslim porn deep goat
en_0174,a sarcastic meme,0.34043851494789124,cute getting ready to start kid her life too bad s
en_0175,a political meme,0.3815600872039795,what women think they'll do when the economy colla
en_0176,a wholesome meme,0.5001132488250732,when she smiles at you from a distance
en_0177,a sarcastic meme,0.2826826274394989,see if you can find the guys from white chicks lol
en_0178,an offensive meme,0.3005182445049286,smirked at an adult media coverage: 30 days shot u
en_0179,a sarcastic meme,0.5054988861083984,"nothing says ""pull me over"" like some red solo cup"
en_0180,a funny meme,0.31587809324264526,chillin with my chromies
en_0181,a political meme,0.8141557574272156,"hillary isn't in jail, the wall isn't built, isis "
en_0182,an offensive meme,0.40794631838798523,what i say about the gunman every time there's a m
en_0183,a political meme,0.4717881381511688,this is really out of mein kampfert zone
en_0184,a wholesome meme,0.5961300134658813,god will forgive you no matter what you've done sw
en_0185,a political meme,0.2715027928352356,hey liberals & democrats have you forgotten
en_0186,a sarcastic meme,0.3466782867908478,pure american muscle
en_0187,an offensive meme,0.2744271755218506,they stole ma chickin i stole their life
en_0188,a political meme,0.3350035846233368,all races are equal
en_0189,a wholesome meme,0.4833621382713318,when you haven't stolen anything in a week
en_0190,a sarcastic meme,0.36259230971336365,when you have errands to run but you're too tired 
en_0191,a sarcastic meme,0.44980037212371826,husband gives massage.. ...aaaand now i have a dic
en_0192,a political meme,0.7306780815124512,who cares if mexicans are offended americans are o
en_0193,a sarcastic meme,0.3134322464466095,hold up when she says she likes hung black men so 
en_0194,a political meme,0.32835307717323303,loyalty always has a cost some times it pays off..
en_0195,a sarcastic meme,0.30448678135871887,fuck islam
en_0196,a funny meme,0.333056777715683,ain't nothing but a goat
en_0197,a political meme,0.2672942578792572,"what your ancestors were doing july 4, 1776 what d"
en_0198,a political meme,0.384857714176178,ignorance and hate will lead you to nothing but sh
en_0199,an offensive meme,0.48333507776260376,when there is no pinyata at the party but the emo 
