id,filename,text_in_image,text_english,sentiment,category,notes
jp_011,IMG_0109.jpeg,遶玖干縺ｫ荳弱☆繧狗ｮ｡雋｡莠ｺ縺ｯ諛ｲ謌偵ム繝ｼ / 遶玖干蟄晏ｿ玲ｰ上・蟶ｸ鄙堤噪縺ｪ蝌倥▽縺阪〒縺吶・,Trustees siding with Tachibana deserve discipline / Tachibana is a habitual liar,sarcastic,politics,Political criticism meme
jp_012,IMG_0103.jpeg,MAPPA縺御ｽ懊▲縺溘が繝ｪ繧ｸ繝翫Ν繧ｷ繝ｼ繝ｳ蟆ｽ縺上Α繝ｼ繝縺ｫ縺ｪ縺｣縺ｦ繧九・縺翫ｂ繧阪＞w,It's funny how all the original scenes MAPPA made became memes lol,funny,anime_jjk,Jujutsu Kaisen - Naoya getting head patted
jp_013,IMG_0104.jpeg,"縺昴ｌ縺ｫ縺励※繧らｦｪ髯｢逶ｴ蜩峨√≠縺ｮ繝溘た繧ｸ繝九・繧堤・隧ｰ繧√◆""繝峨ヶ繧ｫ繧ｹ""縺｣縺ｷ繧・..","Even so, Zenin Naoya, that concentrated misogyny ""scumbag"" attitude...",funny,anime_jjk,Jujutsu Kaisen Naoya meme - became viral worldwide
jp_014,IMG_0105.jpeg,莠ｺ縺ｮ蠢・→縺九↑縺・ｓ縺具ｼ・ 縺悶▲縺代ｓ縺ｪ繧・ｼ・ｼ・ 蜻ｪ蜉帙′邱ｴ繧後ｓ・・ｼ・ 繝峨ヶ繧ｫ繧ｹ窶ｦ縺後＝・・ｼ・Don't you have a heart? / Don't mess with me!! / Can't refine cursed energy!! / You scumbag...!!,funny,anime_jjk,Jujutsu Kaisen Naoya 4-panel meme compilation,
jp_015,IMG_0106.jpeg,"譏取律譖ｴ譁ｰ縺ｮ縲惨PYﾃ友AMILY縲上〒縺吶′縲√う繝ｩ繧ｹ繝医・縺ｿ縺ｨ縺ｪ繧九・縺ｧ0譎ょ燕縺ｫ蜻顔衍縺輔○縺ｦ鬆ゅ″縺ｾ縺・""Tomorrow's SPYﾃ友AMILY update will be illustration only"," announcing before midnight""",wholesome,anime_spy_family,Author Endo apologizing - Anya bowing illustration
jp_016,IMG_0107.jpeg,SPYﾃ友AMILY (on t-shirt),SPYﾃ友AMILY,wholesome,anime_spy_family,Person wearing Anya smug face t-shirt
jp_017,IMG_0102.jpeg,貊昴・繧医≧縺ｫ豬√ｌ繧狗ｦｪ髯｢逶ｴ蜩峨・繝溘・繝 / 雜・擇逋ｽ縺九▲縺溘ｈ,Zenin Naoya memes flowing like a waterfall / It was super funny,funny,anime_jjk,Jujutsu Kaisen Naoya meme compilation
jp_018,IMG_0101.jpeg,"蜻ｪ陦灘ｻｻ謌ｦ隕ｳ縺ｦ縺溘ｉ...繝代Φ繝蜈郁ｼｩ縺ｫ縲娯・Imai縲搾ｼ∝･ｽ縺阪・縺｣縺九ｊ縺縺｣縺・""Watching Jujutsu Kaisen... Panda-senpai has """"笘・mai""""! I loved it""",funny,anime_jjk,Panda character with Imai brand mark easter egg,
jp_019,IMG_0100.jpeg,"菫ｺ縺ｯ髟ｷ逕ｷ縺縺九ｉ謌第・縺ｧ縺阪◆縺代←縲∵ｬ｡逕ｷ縺縺｣縺溘ｉ謌第・縺ｧ縺阪↑縺九▲縺・""I could endure it because I'm the eldest son"," but if I were the second son I couldn't""",funny,anime_demon_slayer,Famous Tanjiro quote - became meme
jp_020,IMG_0099.jpeg,菫ｺ縺ｯ豕｣縺・◆ / 繧ｪ繧ｿ繧ｯ雜｣蜻ｳ縺ｫ逅・ｧ｣縺後≠縺｣縺ｦ繝輔Ξ繝ｳ繝峨Μ繝ｼ縺ｪ繧ｮ繝｣繝ｫ縺ｪ繧薙※蟄伜惠縺励↑縺・ｓ縺繧・I cried / A friendly gal who understands otaku hobbies doesn't exist,funny,anime_demon_slayer,Manga panel about otaku fantasy girlfriend,
jp_021,IMG_0098.jpeg,菫ｺ繧ゅ◎縺・＠縺ｾ縺呻ｼ・ 縺阪▲縺ｨ莉ｲ濶ｯ縺上↑繧後ｋ縺ｨ諤昴≧,I'll do that too! / I think we can become good friends,wholesome,anime_demon_slayer,Cute chibi Demon Slayer characters
jp_022,IMG_0097.jpeg,驟肴・縺九↑縺・? 驟肴・縺梧ｬ縺代※縺・※谿矩・縺ｧ縺・!,Is that consideration!? You lack consideration and it's cruel!!,funny,anime_demon_slayer,Tanjiro angry face - famous meme expression
jp_023,IMG_0096.jpeg,蟇昴ｋ繧舜 / #逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,I'm going to sleep lol / #SleepIfYouLaughAtThisImage,funny,cat_meme,Cat with catnip making funny faces
jp_024,IMG_0095.jpeg,縺翫ｄ縺吶∩ / ever ever... Forever Shine,Goodnight / ever ever... Forever Shine,funny,anime_crossover,K-ON girls with Frieza (Dragon Ball) crossover
jp_025,IMG_0094.jpeg,菫｡髟ｷ縺ｮ繧繧後′縺ゅｉ繧上ｌ縺・! / 縺輔∪繧医≧菫｡髟ｷ / 縺ｼ縺｣縺｡菫｡髟ｷ / 隨ｬ蜈ｭ螟ｩ鬲皮視 / 繝√Ε繝ｩ縺・ｿ｡髟ｷ / 縺ｪ縺偵″縺ｮ菫｡髟ｷ,A herd of Nobunaga appeared!! / Wandering Nobunaga / Lonely Nobunaga / Sixth Demon King / Flashy Nobunaga / Lamenting Nobunaga,funny,gaming_history,Different game versions of Oda Nobunaga - RPG style
jp_026,IMG_0093.jpeg,YO! 譏取律繧ょ感蜒・ / 菴輔′縺ゅ▲縺溘°縺・ｸ・屮! 縺昴ｓ縺ｪ繧ゅ・縺ｮ縺溘ａ縺ｫ蜒阪￥逍大撫!,YO! Work again tomorrow! / What happened warm futon! Question of working for such things!,sarcastic,daily_life,Comic about not wanting to work vs warm bed
jp_027,IMG_0092.jpeg,"縲後→縺｣縺ｨ縺薙ワ繝螟ｪ驛・縲阪〒縺・/ 縲後■繧薙⊃縺薙き繝｡螟ｪ驛弱阪▲縺｡繧・≧縺ｮ繧・▲縺ｦ繧薙・・・""""""It's Tottoko Hamtaro 2"""" / """"Are you playing Chinpoko Kametaro?""""""",funny,tv_show,Child mishearing game title on TV show - classic viral clip,
jp_028,IMG_0091.jpeg,菴墓腐縲∵焚縺ゅｋ莨∵･ｭ縺ｮ荳ｭ縺ｧ蠖鍋､ｾ繧帝∈繧薙□縺ｮ縺ｧ縺吶°・・ 螳我ｾ｡縺ｯ邨ｶ蟇ｾ縺ｧ縺呻ｼ・Why did you choose our company? / The low price is absolute!,funny,internet_culture,2ch ASCII art job interview meme,
jp_029,IMG_0090.jpeg,螳悟・縺ｫ荳閾ｴ,Completely identical,funny,comparison,Thomas the Tank Engine vs Japanese performer face comparison
jp_030,IMG_0089.jpeg,繝上う縲よｭｻ蛻代よｬ｡縺ｮ譁ｹ縲・Yes. Death penalty. Next please~,sarcastic,internet_culture,Bokete-style meme with stern judge,
jp_031,IMG_0088.jpeg,(No text - Pokemon crossover),Pokemon crossover with Gintama,funny,anime_crossover,Gintama's Shinpachi as Ash with human-faced Pikachu
jp_032,IMG_0087.jpeg,縺ｵ縺励℃縺ｪ繧｢繝｡,Rare Candy,funny,gaming_pokemon,Crying Pikachu being fed Rare Candies - Pokemon game reference
jp_033,IMG_0086.jpeg,逕ｳ縺苓ｨｳ縺ゅｊ縺ｾ縺帙ｓ縺ｧ縺励◆ / 菫晞㊧蠕後・莨夊ｦ・/ 菴馴㍾縺ｯ20kg貂・I'm very sorry / Press conference after bail / Lost 20kg,sarcastic,news,Famous Japanese apology bow press conference,
jp_034,IMG_0085.jpeg,(No text - Evangelion),Evangelion Gendo shaving meme,funny,anime_evangelion,Gendo Ikari shaving - rare happy expression edit
jp_035,IMG_0084.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,#SleepIfYouLaughAtThisImage,funny,sports,Kei Nishikori (tennis player) funny face during match
jp_036,IMG_0083.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,#SleepIfYouLaughAtThisImage,funny,photo_funny,Baby with dog ears illusion behind
jp_037,IMG_0082.jpeg,"30遉ｾ蜿励￠縺ｦ蜈ｨ貊・菴輔′縺・￠縺ｪ縺・・縺九ｏ縺九ｉ縺ｪ縺・/ 髮・▲縺溘→縺薙ｍ縺ｧ縲後ｂ縺・￠縺後↑縺・阪°繧峨・""Applied to 30 companies"," all rejected. Don't know what's wrong / """"No profit"""" even if hired""",sarcastic,bokete,"Bokete meme about job hunting failure - wordplay on ""mouke"""
jp_038,IMG_0081.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,#SleepIfYouLaughAtThisImage,funny,stock_photo,Butler/waiter stock photo in different poses
jp_039,IMG_0080.jpeg,陌ｹ蟾晏・霈ｩ縺ｮ蜻ｼ縺ｳ蜃ｺ縺・! 螂ｳ闃ｸ莠ｺ蜷悟｣ｫ縺後・繧ｸ蟇ｾ豎ｺ,Nijikawa-senpai's call!! Female comedians' serious battle,funny,tv_variety,Japanese comedian with rubber bands on face
jp_040,IMG_0079.jpeg,蟶昴・繧｢繧ｴ縺ｯ / 67蠎ｦ!!,The Emperor's chin is / 67 degrees!!,funny,anime_history,Historical anime character with protractor measuring chin angle
jp_041,IMG_0078.jpeg,繝峨Μ繝ｳ繧ｯ繝舌・縺ｫ繝代す繧峨○縺滉ｺ九∝ｾ梧ｔ縺輔○縺ｦ繧・ｋ縺・I'll make you regret making me fetch drinks,sarcastic,bokete,Boy at toilet plotting revenge - Bokete style,
jp_042,IMG_0077.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ / 菫ｺ縺後ｂ縺・ｬ代▲縺｡繧・▲縺溘°繧牙ｯ昴∪縺・#SleepIfYouLaugh / I already laughed so I'm going to sleep,funny,reaction,Funny face close-up webcam photo,
jp_043,IMG_0076.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,#SleepIfYouLaughAtThisImage,funny,idol,Japanese idol with dandelion - seeds in hair illusion
jp_044,IMG_0075.jpeg,"縲後・繧薙§繧・▲縺溪飭縲阪§繧・・縺医ｈ縲りｬ昴ｌ繧医・""Don't just say """"I stepped on it笙ｪ"""". Apologize.""",funny,cat_bokete,Angry cat demanding apology - Bokete meme,
jp_045,IMG_0074.jpeg,蠕梧焔縺ｮ蜍昴■ / 莠秘｣ / 蜈域焔 / 蠕梧焔,Second player wins / Five in a row,funny,gaming,Gomoku (five-in-a-row) game where black pieces form middle finger shape
jp_046,IMG_0073.jpeg,#逕ｻ蜒上〒隨代▲縺溘ｉ蟇昴ｍ,#SleepIfYouLaughAtThisImage,funny,cat_meme,Cat drinking water upside down in sink
jp_047,IMG_0072.jpeg,莉雁屓繧よ轟縺九ｌ縺ｪ縺・・窶ｦ,Looks like I won't be filleted this time either...,funny,gaming_vocaloid,"Fish character as magical girl - ""Imasugu Rinne"" x Fish meme crossover"
jp_048,IMG_0071.jpeg,蟲ｶ豬√＠縺縺ｨ謨代＞縺縺｣縺溘・縺ｧ譯懃ｾｽ繧ｨ繝槭ｒ貅ｶ蟯ｩ縺ｫ縺ｶ縺｡霎ｼ縺ｿ縺ｾ縺励◆(?),Exile was too easy so I threw Sakuraha Ema into lava (?),funny,vtuber,VTuber chibi floating in lava with pool ring
jp_049,IMG_0070.jpeg,縺医▲縺｡縺｣縺ｦ縺溘・縺励＞縺ｭ / 譛螟ｧ40騾｣,"Lewd stuff is fun, right / Max 40 pulls",funny,anime_gundam,Gundam Unicorn's Riddhe in dating sim parody style
jp_050,IMG_0069.jpeg,遖冗蕗蟄昜ｻ・/ 繧ｹ繝斐Μ繝・ヤ5000 / 2025 Series2 OB,Fukudome Kosuke / Spirits 5000 / 2025 Series2 OB,neutral,gaming_baseball,Pro Yakyu Spirits A custom baseball card
jp_051,IMG_0068.jpeg,繝上ャ繝斐・繧ｻ繝・ヨ繧呈が逕ｨ縺励※驥大┫縺代☆繧九ヨ繝ｼ繝槭せ繝ｻ繧ｳ繧ｦ縺ｨ霆｢螢ｲ繝､繝ｼ縺ｯ繧ｫ繝溘・繝ｦ縺ｮ謫阪ｋ繝・ぅ繧ｿ繝ｼ繝ｳ繧ｺ縺ｮ繧ｬ繝ｳ繝繝MarkII縺ｫ雕上∩貎ｰ縺輔ｌ縺ｦ谿ｺ縺輔ｌ繧阪ｈ・・ｼ・Thomas Ko and scalpers who abuse Happy Meals should be stomped by Kamille's Titans Gundam Mark II!!,sarcastic,anime_gundam,Gundam stepping on Happy Meal scalpers,
jp_052,IMG_0065.jpeg,鬮俶園蠕苓・閾ｪ螳ｳ縺励ｍ,"High earners, end yourselves",sarcastic,anime_frieren,Frieren anime with dark humor speech bubble edit
jp_053,IMG_0067.jpeg,蜊・ｳ･縺ｮ鬯ｼ繝ｬ繝ｳ繝√Ε繝ｳ / 繧ｹ繧ｴ縺・ｏ / Don't you worry 'bout a thing,Chidori's Oni Renchan / Amazing / Don't you worry 'bout a thing,funny,tv_variety,TV singing show with hand-drawn pitch bar
jp_054,IMG_0066.jpeg,縺・▲縺九ｊ縺吶℃繝上Ο繧ｦ繧｣繝ｳ!! / 繝上Ο繧ｦ繧｣繝ｳ,Oops Too Much Halloween!!,funny,anime_fate,Fate/Zero Tokiomi faces on Halloween drink promo
jp_055,IMG_0064.jpeg,NIKKE譁ｰ繧ｭ繝｣繝ｩ・・ｼ滂ｼ・ｼ滂ｼ・ｼ・NIKKE new character!?!?!?,funny,gaming_crossover,Dragon Ball's Broly as NIKKE gacha game character,
jp_056,IMG_0063.jpeg,蠑薙ぎ繝√Ε縺阪※闍ｱ髮・視縺翫ｋ繧・ｓ・∝屓縺励◆繧洪^ 竍帝≡蠑薙″縺溪ｼ・剰恭髮・視縺阪◆縺銀♂・・繝翫・繝ｬ繧ｪ繝ｳ,Bow gacha has Hero King! Let me roll^^ 竍竪ot gold bow!! Hero King!? Napoleon,funny,gaming_fgo,"FGO gacha expectation vs reality - wanted Gilgamesh, got Napoleon"
jp_057,IMG_0062.jpeg,"荳ｭ蝗ｽ莠ｺ霆｢螢ｲ繝､繝ｼ縲後％繧後°繧画ｯ取律繝上ャ繝斐・繧ｻ繝・ヨ繝昴こ繧ｫ霆｢螢ｲ縺励※驥大┫縺代＠繧医≧縺懶ｼ√・""Chinese scalper: """"Let's resell Happy Meal Pokemon cards every day!""""""",sarcastic,social_commentary,Anti-scalper meme about Happy Meal resellers,
jp_058,IMG_0061.jpeg,逾・蜻ｨ蟷ｴ・√え繧｣繝ｼ繧ｯ繝ｪ繝ｼ繝溘ャ繧ｷ繝ｧ繝ｳ髢句ぎ荳ｭ・・ 縺薙ｓ縺ｪ螟｢繧定ｦ九◆,Celebrating 7th Anniversary! Weekly Mission! / I had this dream,funny,gaming_onepiece,One Piece Bounty Rush fake 7th anniversary event
jp_059,IMG_0060.jpeg,"關ｩ蜴滉ｺｬ蟷ｳvs蟷ｳ譛ｬ闢ｮ2 ""陬上Γ繧､繝ｳ蜀阪・縲∽ｺ､繧上ｋ""","Hagiwara Kyohei vs Hiramoto Ren 2 ""Behind the main event, crossing again""",neutral,sports_mma,RIZIN MMA fighters comparison collage
jp_060,IMG_0059.jpeg,縺薙←繧ゅざ繧ｸ繝ｩ縺ｮ繝輔Μ繝ｼ邏譚・繧ｳ繝ｩ逕ｻ蜒上↓縺ｩ縺・◇,"Child Godzilla free material, feel free to use for edits",wholesome,vtuber_template,Kanari VTuber baby Godzilla template + candle edit
jp_061,IMG_0058.jpeg,"SNS 逍ｲ繧後◆ / AI縺ｫ繧医ｋ讎りｦ・ｼ壻ｻｮ縺ｫ豸医＠縺ｦ繧ゅ←縺・○縺ｾ縺滓綾縺｣縺ｦ縺阪∪縺吶ゅｈ縺・％縺昜ｸｭ豈偵・荳也阜縺ｸ縲・""SNS tired / AI Summary: Even if you delete it"," you'll come back anyway. Welcome to addiction.""",sarcastic,tech_humor,Google AI giving savage response about SNS addiction
jp_062,IMG_0057.jpeg,蜍輔″縺溘￥縺ｪ縺・/ 繧・ａ縺ｪ縺輔＞縺薙＞縺・Don't want to move / Stop it Koishi,funny,gaming_touhou,Touhou Project Koishi refusing to move,
jp_063,IMG_0056.jpeg,繝悶せ雋縺醍ｵ・ｸ驥・/ 驥阪い繧ｴ繧・・縺・屮蟄宣ｼｻ... (insults list),Ugly loser single eyelid / Double chin awful dumpling nose...,offensive,fetish_content,List of insults - niche fetish content
jp_064,IMG_0055.jpeg,貊ｾ蝗樔ｸｭ蝗ｽ蜴ｻ,Go back to China,political,political_satire,Winnie the Pooh parody on Shinjuku billboard
jp_065,IMG_0054.jpeg,繧ｯ繧ｪ繝ｳ縺ｮ繝峨い繝・・逕ｻ蜒上ロ繧ｿ縺ｫ縺ｧ縺阪ｋ縺檜,We can meme Quon's close-up images lol,funny,tokusatsu,Gojuger Super Sentai face swap meme template
jp_066,IMG_0053.jpeg,#ERROR!,Puzzle & Dragons if +891 became monetization / 8 magic stones! 笘・+ +891 summer gacha,sarcastic,gaming_puzzle,Fake Puzzle & Dragons gacha announcement parody
jp_067,IMG_0052.jpeg,莉頑律縺ｮ蜍慕判縺九ｉ,From today's video,funny,photoshop,Human face on seagull body
jp_068,IMG_0051.jpeg,荳ｭ蝗ｽ螟紋ｺ､驛ｨ縺ｮ蜉牙求譚ｾ縺ｯ繧・▲縺ｱ繧翫％縺ｮ繝昴・繧ｺ縺後＠縺｣縺上ｊ譚･繧九↑縲・China's Foreign Ministry Liu Jinsong really suits this pose,sarcastic,politics,Political figure taking selfie joke,
jp_069,IMG_0050.jpeg,縺ｧ繧らｧ・ｫ俶園蠕苓・ｒ縺ｶ縺｡谿ｺ縺吶・縺悟･ｽ縺阪〒 / 鬲疲ｳ募ｰ大･ｳ繧・▲縺ｦ繧九→縺薙≠繧九°繧・But I like beating up high earners / That's why I'm a magical girl,sarcastic,anime_parody,Gag Manga Biyori rabbits discussing killing rich people,
jp_070,IMG_0049.jpeg,蝌倥□繝・!! / USO,IT'S A LIE!!!,funny,wordplay,Mitsubishi FUSO truck with F removed = USO (lie) + Higurashi reference
jp_071,IMG_0048.jpeg,迯｣逾槫喧蜑阪・驥碁ｦ吶■繧・ｓ縺後√←縺・＠縺ｦ繧ょ沁荵句・縺ｮ繧ｽ繝ｬ縺ｫ縺励°隕九∴縺ｪ縺・Pre-beast Rika-chan only looks like Jonouchi's that thing,funny,gaming_crossover,Monster Strike character looks like Yu-Gi-Oh's Jonouchi,
jp_072,IMG_0047.jpeg,遘√・繝ｭ繝懊ャ繝医〒縺ｯ縺ゅｊ縺ｾ縺帙ｓ縺ｧ縺薙ｌ縺ｯ螳悟・縺ｫ謔ｪ諢上＠縺九↑縺・□繧購wwwww,"""I'm not a robot"" this is purely malicious lolol",funny,tech_humor,CAPTCHA with awkward image to select
jp_073,IMG_0046.jpeg,繝帙Φ繝榊稔闌ｶ / 縺ｩ縺・◇蜍晄焔縺ｫ,"Honest Cafe / Go ahead, do what you want",sarcastic,politics,Politician with dismissive subtitle on TV show
jp_074,IMG_0045.jpeg,繧ｹ繝代う繝繝ｼ諡芽・,Spider abduction,funny,cosplay,Spider-Man cosplayer strapped to bed
jp_075,IMG_0044.jpeg,"譛霑代∪縺ｧ豬∬｡後▲縺ｦ縺溘Ζ繝・髮代さ繝ｩ縺励◆繧峨・繝ｩ繝ｼ縺ｫ縺ｪ縺｣縺・""Recent trending thing"," became horror after rough edit""",funny,photoshop,Domino's workers multiplied into horror scene
jp_076,IMG_0043.jpeg,繧医＠・・ｼ√Ρ繧､繧ゅｄ縺｣縺ｦ縺ｿ繧仇ww 螳滄圀關後∴繧九°縺ｩ縺・°縺ｯ繧上°繧峨ｓ縺鯉ｼ域ｱ暦ｼ・Alright!! I'll try too www Not sure if it's actually cute though (sweat),funny,ai_art,AI anime girl glasses on/off meme,
jp_077,IMG_0042.jpeg,縺縺九ｉ・∽ｻ穂ｺ九□縺｣縺ｦ・∵骨縺輔↑縺・〒縺｣縺ｦ・∫叫繧翫◆縺上↑繧九〒縺励ｇ・・I said it's work! Don't look for me! You'll want to hunt!,funny,gaming_monsterhunter,Monster Hunter Now - monster appeared at work,
jp_078,IMG_0041.jpeg,蜻ｪ陦灘ｻｻ闊ｹ蝠丞ｱ・Jujutsu Kaisen Ship Wholesaler,funny,ai_art,AI-generated Edo period style Jujutsu Kaisen parody,
jp_079,IMG_0040.jpeg,BLANKA / E. HONDA / KO 66 / STRIKE! / BOWLING ATTACK!,(English text),funny,ai_art,ChatGPT-generated Street Fighter bowling crossover
jp_080,IMG_0039.jpeg,"蟾ｨ螟ｧ繧ｭ繝弱さ縺ｫ蜈･繧阪≧縺ｨ諤昴＞縲√ヴ繧ｯ繝溘Φ驕斐↓繧ｨ繧ｭ繧ｹ荳弱∴縺ｦ縺・＊蜃ｺ髯｣窶ｼ・・..縺ｨ縺励◆遏｢蜈医∝・縺ｫ5莠ｺ蜈･繧峨ｌ縺滓凾縺ｮ遘・ｼ亥承縺ｮ蟄撰ｼ・""Wanted to enter giant mushroom"," gave Pikmin nectar... then 5 people entered first (me: right kid)""",funny,gaming_pikmin,Captain Tsubasa used for Pikmin Bloom reaction
jp_081,IMG_0038.jpeg,縺｡繧・▲縺ｨ蠕・▲縺ｦ縺ｪ繧薙°繧ｷ繝･繝ｼ繝ｫ縺ｪ繧ゅ・隕九▽縺代◆縲ゅ←縺・↑縺｣縺ｦ繧薙・譯ｶ蟾晏ｸゅ・ 譯ｶ蟾昴・鄒主ｰ大･ｳ,Wait I found something surreal. What's going on Okegawa City? / Okegawa's Beautiful Girl,funny,real_life,Bizarre bikini girl statue in Japanese town
jp_082,IMG_0037.jpeg,縺ゅ・繧ｦ繝√・ZERO蝗｣髟ｷ...縺ｨ縺・→縺・ロ繧ｮ菴懊ｊ蟋九ａ縺ｾ縺励◆www 縺ｯ繧九・w,Ah our ZERO clan leader... finally started making green onions www,funny,gaming_clan,Gamer's face on green onion product package
jp_083,IMG_0036.jpeg,"縲後ｏ縺溘＠縺溘■縲阪・蟇ｾ鄒ｩ隱槭後◆繧上＠縺ｭ縺薙・""Antonym of """"watashitachi"""" (we) is """"tawashineko"""" (scrub brush cat)""",funny,wordplay,Cat that looks like a scrub brush - Japanese wordplay,
jp_084,IMG_0035.jpeg,縺ｩ縺・＠縺ｦ繧ょｯｺ髢繧ｸ繝｢繝ｳ縺輔ｓ縺ｫ隕九∴縺ｦ縺励∪縺・I can only see Teramon Jimon,funny,comparison,Mr. Vampire character looks like Japanese comedian,
jp_085,IMG_0034.jpeg,繝阪ち縺ｫ縺ｪ繧翫◎縺・↑逕ｻ蜒城寔縺昴・46縲ゅΑ繧ｵ繝溘し繧ｻ繝ｬ繧ｯ繧ｷ繝ｧ繝ｳ縺ｮ蜑ｯ逕｣迚ｩ縺ｧ縺吶ゅ∪縺溘°繧医・Potential meme images collection #46. Byproduct of MisaMisa selection. Again?,funny,anime_captain_tsubasa,Captain Tsubasa funny face compilation,
jp_086,IMG_0033.jpeg,鮟・ゅ↓蜷ｹ縺九ｌ縺ｦ,Blown by Yellow Sand,sarcastic,ai_art,AI-generated movie poster about yellow sand/dust
